,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
21,MIDDLE OF THE NIGHT,Elley Duhé,MIDDLE OF THE NIGHT,4hYYpUC8Ewb74tP23Y1lmM,58HvfVOeJY7lUuCqF0m3ly,86,2020-01-10,184448,False,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727
22,Still Rollin,Shubh,Still Rollin,5AivaZj0CiQJoDWqVH2pbh,6oz1L5jcqZWYuId7nxvIan,85,2023-05-19,174730,False,https://open.spotify.com/track/6oz1L5jcqZWYuId7nxvIan,0.881,0.431,6,-11.093,0,0.0914,0.182,0.0018,0.113,0.246,94.0
23,"Chaleya (From ""Jawan"")","Anirudh Ravichander, Arijit Singh, Shilpa Rao","Chaleya (From ""Jawan"")",7zAITOBN6eG4UBm4IapAik,4nc6XiUze2Yh7wFueGOPv7,85,2023-08-14,200374,False,https://open.spotify.com/track/4nc6XiUze2Yh7wFueGOPv7,0.575,0.845,0,-5.28,1,0.0852,0.393,0.0107,0.131,0.439,95.047
24,Until I Found You,Stephen Sanchez,Until I Found You,18CtLoAMTr7F8ngtuM6D8i,0T5iIrXA4p5GsubkhuBIKV,84,2021-09-01,177720,False,https://open.spotify.com/track/0T5iIrXA4p5GsubkhuBIKV,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358
25,Maan Meri Jaan,King,Champagne Talk,15CyNDuGY5fsG0Hn9rjnpG,1418IuVKQPTYqt7QNJ9RXN,84,2022-10-12,194654,False,https://open.spotify.com/track/1418IuVKQPTYqt7QNJ9RXN,0.698,0.505,6,-8.242,0,0.0356,0.354,0.0,0.0995,0.396,95.868
26,Malang Sajna,"Sachet Tandon, Parampara Tandon, Kumaar, Sachet-Parampara",Malang Sajna,7khRLZe8P6XcUoRgOa3nnf,73K33p4Vyz9koXGqmL5eFs,84,2022-12-19,160194,False,https://open.spotify.com/track/73K33p4Vyz9koXGqmL5eFs,0.739,0.716,10,-4.964,1,0.037,0.232,0.0,0.33,0.871,113.943
27,Bones,Imagine Dragons,Bones,1Q9SnHWPNEjVM0LrBFvJ1q,0HqZX76SFLDz2aW8aiqi7G,83,2022-03-11,165265,False,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071
28,No Lie,"Sean Paul, Dua Lipa",Mad Love The Prequel,5xrOcCoO3jkXRjHQjfESM6,48QmG1dfvMuYLxMPt7KSRA,83,2018-06-29,221176,False,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04
29,Mi Amor,"Sharn, 40k, The Paul",Mi Amor,0azGrKHPYvl2MEKwQFfbV2,24MMjyA3NLqCsDJfsn51eg,83,2022-09-30,203049,False,https://open.spotify.com/track/24MMjyA3NLqCsDJfsn51eg,0.637,0.703,4,-5.297,0,0.0789,0.53,4.23e-06,0.11,0.553,81.99
30,Infinity,Jaymes Young,Feel Something,6MuWCR3WPjwyKhqsTKLZ3z,1SOClUWhOi8vHZYMz3GluK,83,2017-06-23,237720,False,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK,0.671,0.673,11,-6.941,0,0.0444,0.148,5.29e-05,0.304,0.494,121.963
31,"Naa Ready (From ""Leo"")","Anirudh Ravichander, Thalapathy Vijay, Asal Kolaar","Naa Ready (From ""Leo"")",7qRoSVSyHeA9qtOXUpBwRI,1B02UI29t3PTh3m98absaP,84,2023-06-22,248182,False,https://open.spotify.com/track/1B02UI29t3PTh3m98absaP,0.726,0.805,1,-5.576,1,0.153,0.081,0.00784,0.0318,0.572,87.956
32,Obsessed,"Riar Saab, Abhijay Sharma",Obsessed,3LyafXRRJVEfcjTMr1N8Mu,6Z4rRhYZVQsYKmrxD40tru,83,2022-09-29,190444,False,https://open.spotify.com/track/6Z4rRhYZVQsYKmrxD40tru,0.798,0.74,5,-4.099,0,0.0861,0.616,0.0,0.084,0.851,134.932
33,Unstoppable,Sia,This Is Acting (Deluxe Version),2eV6DIPDnGl1idcjww6xyX,1yvMUkIOTeUNtNWlWRgANS,83,2016-10-21,217747,False,https://open.spotify.com/track/1yvMUkIOTeUNtNWlWRgANS,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799
34,Levitating,Dua Lipa,Future Nostalgia,7fJJK56U9fHixgO0HQkhtI,39LLxExYz6ewLAcYrzQQyP,83,2020-03-27,203808,False,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP,0.695,0.884,6,-2.278,0,0.0753,0.0561,0.0,0.213,0.914,103.014
